grade_num,loan_grade,apr,36_mo,60_mo,grade_value
0,A1,6.03,6.78,7.3,0
1,A2,6.97,7.99,8.26,0
2,A3,7.62,8.99,8.91,0
3,A4,8.6,9.98,9.91,0
4,A5,9.25,10.99,10.56,0
5,B1,9.99,12.46,12.23,1
6,B2,10.99,13.84,13.25,1
7,B3,11.99,14.85,14.27,1
8,B4,12.99,15.87,15.3,1
9,B5,13.67,16.56,15.99,1
10,C1,14.3,17.96,16.64,2
11,C2,15.1,18.77,17.45,2
12,C3,15.61,19.29,17.98,2
13,C4,16.2,19.9,18.58,2
14,C5,17.1,20.82,19.5,2
15,D1,17.76,21.49,20.18,3
16,D2,18.55,22.3,20.99,3
17,D3,19.2,22.97,21.65,3
18,D4,19.52,23.29,21.98,3
19,D5,20.2,23.99,22.68,3
20,E1,21,24.81,23.5,4
21,E2,21.7,25.52,24.22,4
22,E3,22.4,26.24,24.93,4
23,E4,23.1,26.96,25.65,4
24,E5,23.4,27.26,25.96,4
25,F1,23.7,27.57,26.27,5
26,F2,24.08,27.96,26.66,5
27,F3,24.5,28.39,27.09,5
28,F4,24.99,28.89,27.59,5
29,F5,25.57,29.49,28.19,5
30,G1,25.8,29.72,28.42,6
31,G2,25.83,29.75,28.45,6
32,G3,25.89,29.81,28.62,6
33,G4,25.99,29.92,28.62,6
34,G5,26.06,29.99,28.69,6
